1	vfoa_freq	1810000
1	vfoa_mode	4
2	vfoa_freq	3500000
2	vfoa_mode	4
3	vfoa_freq	3525000
3	vfoa_mode	0
4	vfoa_freq	3790000
4	vfoa_mode	0
5	vfoa_freq	7000000
5	vfoa_mode	4
6	vfoa_freq	7030000
6	vfoa_mode	0
7	vfoa_freq	10100000
7	vfoa_mode	4
8	vfoa_freq	14000000
8	vfoa_mode	4
9	vfoa_freq	14100000
9	vfoa_mode	2
10	vfoa_freq	18068000
10	vfoa_mode	4
11	vfoa_freq	18110000
11	vfoa_mode	2
12	vfoa_freq	21000000
12	vfoa_mode	4
13	vfoa_freq	21150000
13	vfoa_mode	2
14	vfoa_freq	24890000
14	vfoa_mode	4
15	vfoa_freq	24930000
15	vfoa_mode	2
16	vfoa_freq	28000000
16	vfoa_mode	4
17	vfoa_freq	28200000
17	vfoa_mode	2
18	vfoa_freq	29000000
18	vfoa_mode	7
19	vfoa_freq	29510000
19	vfoa_mode	7
20	vfoa_freq	50000000
20	vfoa_mode	4
21	vfoa_freq	50100000
21	vfoa_mode	7
22	vfoa_freq	52900000
22	vfoa_mode	7
201	vfoa_freq	26055000
201	vfoa_mode	6
202	vfoa_freq	26515000
202	vfoa_mode	6
203	vfoa_freq	26965000
203	vfoa_mode	6
204	vfoa_freq	27415000
204	vfoa_mode	6
