1	160m	1810000	1825000	1
2	80m CW	3500000	3525000	1
3	80m SSB-1	3525000	3550000	1
4	80m SSB-2	3790000	3800000	1
5	40m CW	7000000	7030000	1
6	40m SSB	7030000	7200000	1
7	30m	10100000	10150000	1
8	20m CW	14000000	14100000	1
9	20m SSB	14100000	14350000	1
10	17m CW	18068000	18110000	1
11	17m SSB	18110000	18168000	1
12	15m CW	21000000	21150000	1
13	15m SSB	21150000	21450000	1
14	12m CW	24890000	24930000	1
15	12m SSB	24930000	24990000	1
16	10m CW	28000000	28200000	1
17	10m SSB	28200000	29000000	1
18	10m FM-1	29000000	29300000	1
19	10m FM-2	29510000	29610000	1
20	6m CW	50000000	50100000	1
21	6m ALL-1	50100000	52500000	1
22	6m ALL-2	52900000	54000000	1
